Text,Label
What Would Your Perfect Room Look Like?,Non-Flirt
What Skill Would You Most Like To Master?,Non-Flirt
What Would Be The Most Amazing Adventure To Go On?,Non-Flirt
What Pets Did You Have While You Were Growing Up?,Non-Flirt
What?s Your Favorite Day Of The Year?,Non-Flirt
How Do You Relax After A Hard Day Of Work?,Non-Flirt
What?s The Farthest You?ve Ever Been From Home?,Non-Flirt
Where Is The Most Interesting Place You?ve Been?,Non-Flirt
What?s The Best Thing That Happened To You Last Week?,Non-Flirt
What City Would You Most Like To Live In?,Non-Flirt
What's The Best Practical Joke You've Played On Someone?,Non-Flirt
What's Your Favorite Disney Movie?,Non-Flirt
"If You Could Keep Any Animal As A Pet, What Would You Choose?",Non-Flirt
What's The Worst Job You've Ever Had?,Non-Flirt
"If You Could Turn Any Activity Into An Olympic Sport, What Would You Have A Good Chance At Winning A Gold Medal For?",Non-Flirt
"If You Had A Personal Flag, What Would Be On It?",Non-Flirt
What Are The Three Most Interesting Things About You?,Non-Flirt
"What Are You Really Good At, But Kind Of Embarrassed That You Are Good At It?",Non-Flirt
What Was The Most Memorable Gift You?ve Ever Received?,Non-Flirt
What Word Or Saying From The Past Do You Think Should Come Back?,Non-Flirt
Who Would Be The Worst Person To Be Stuck In An Elevator With? How About The Best Person To Be Stuck In An Elevator With?,Non-Flirt
What Cartoon Did You Watch Most As A Child?,Non-Flirt
What Was The Last Movie You Watched? How Was It?,Non-Flirt
Have You Ever Had A Crush On A Fictional Movie Character? Who?,Non-Flirt
What Age Do You Feel Right Now And Why?,Non-Flirt
"As The Only Human Left On Earth, What Would You Do?",Non-Flirt
How Different Was Your Life One Year Ago?,Non-Flirt
What Is Your Best Childhood Memory?,Non-Flirt
What?s Something You?ve Always Wanted To Try?,Non-Flirt
What Is Something You Think Everyone Should Do At Least Once In Their Lives?,Non-Flirt
What Is The Most Heartwarming Thing You?ve Ever Seen?,Non-Flirt
"What's Something You Love, That People Haven?t Even Heard Of?",Non-Flirt
What's Your Least Favorite Word?,Non-Flirt
Have You Traveled To Any Different Countries? Which Was Your Favorite?,Non-Flirt
What Was Your Worst First (And Last) Date?,Non-Flirt
"If You Were The Ruler Of A Small Island Nation, What Would You Do?",Non-Flirt
What Could You Give A 40-Minute Presentation On With Absolutely No Preparation?,Non-Flirt
"What Is Something That Is Considered A Luxury, But You Don?t Think You Could Live Without?",Non-Flirt
What Would Be Your First Question After Waking Up From Being Cryogenically Frozen For 100 Years?,Non-Flirt
What Would Be On The Gag Reel Of Your Life?,Non-Flirt
"If You Could Know The Absolute And Total Truth To One Question, What Question Would You Ask?",Non-Flirt
"If You Suddenly Became A Master At Woodworking, What Would You Make?",Non-Flirt
"If You Were President, What Is The First Thing You Would Do?",Non-Flirt
What Do You Want Your Tombstone To Say?,Non-Flirt
What Is Your Favorite Feature On The Opposite Sex?,Non-Flirt
If You Could Bankrupt One Person Or Company Who Would It Be?,Non-Flirt
"If You Could Go Back In Time And Delete The Internet From Existence, Would You?",Non-Flirt
"If You Could Bring Back Any Trend From The Past, What Would It Be?",Non-Flirt
"If You Were Given A One-Minute Ad Slot During The Super Bowl, What Would You Fill It With?",Non-Flirt
Which Fictional Character Would Be The Most Boring To Meet In Real Life?,Non-Flirt
"If You Won The Lottery, What Would You Do?",Non-Flirt
What Is The Worst Pickup Line You've Heard?,Non-Flirt
What's The Most Bizarre Set Of Items That You Could Buy To Make A Cashier Uncomfortable?,Non-Flirt
What is your biggest turn on?,Flirt
"What are your favourite pet names? Babe, Cutie etc. ...",Flirt
Want to know a secret?,Flirt
Who was your teacher crush?,Flirt
What do you think is the most attractive quality in a person? ,Flirt
Do you prefer to make the first move? ,Flirt
When will I get to kiss you for the first time?,Flirt
Have you ever sent dirty text messages? ,Flirt
"Do you prefer a crazy night out, or relaxing at home?",Flirt
Are you willing to try new things?,Flirt
What is the best gift you?ve ever received? ,Flirt
Do you have any secret talents?,Flirt
What is your idea of a perfect date? ,Flirt
What is your dream job?,Flirt
Can you describe your perfect weekend? ,Flirt
What is your dream home like? ,Flirt
Who do you think is my celebrity look-alike? ,Flirt
What is something about you that people would never guess? ,Flirt
Did you ever have the hots for a teacher? ,Flirt
What color do you think would look best on me? ,Flirt
What do you think of my style? ,Flirt
What quality do you like most about yourself?,Flirt
"What?s more important, brains or looks?",Flirt
Describe your ideal relationship in one sentence? ,Flirt
What was a deal breaker in a past relationship? ,Flirt
Do you like using pet names in a relationship? ,Flirt
How on earth are you still single? ,Flirt
What are you thinking right now? ,Flirt
Are you a hugger? ,Flirt
Is sexual chemistry important to you? ,Flirt
Am I your type? ,Flirt
What do you think is on my mind right now? ,Flirt
Truth or dare?,Flirt
Have you ever??,Flirt
How do you feel about public displays of affection? ,Flirt
Are you a heartbreaker? ,Flirt
"If you could have one superpower, what would it be? ",Flirt
What is the kindest thing you?ve done for someone?,Flirt
How soon should a new couple go on vacation together? ,Flirt
Would you marry someone of a different faith? ,Flirt
What song would you dance to at your wedding? ,Flirt
"If you could only eat one food for the rest of your life, what would it be? ",Flirt
Would you take a fun weekend trip with me? ,Flirt
Would you move across the world to be with someone you love?,Flirt
Do you work out a lot? ,Flirt
What is the longest relationship you?ve ever had? ,Flirt
What do you wear to bed? ,Flirt
Do you like trying new cuisines? ,Flirt
Do you have a secret fantasy you?ve never told anyone?,Flirt
Can I have your number? ,Flirt
Can I call you sometime? ,Flirt
Do you enjoy slow dancing?,Flirt
